pre_all_avg,pre_attack_1,pre_attack_1,pre_attack_1,pre_attack_avg,pre_def_1,pre_def_2,pre_def_3,pre_def_4,pre_def_5,pre_def_6,pre_def_6,pre_def_avg,pre_non_sec_1,pre_non_sec_2,pre_non_sec_3,pre_non_sec_avg,pre_skills_1,pre_skills_2,pre_skills_3,pre_skills_avg,post_all_avg,post_attack_1,post_attack_2,post_attack_3,post_attack_avg,post_def_1,post_def_2,post_def_3,post_def_4,post_def_5,post_def_avg,post_non_sec_1,post_non_sec_2,post_non_sec_3,post_non_sec_agv,post_skills_1,post_skills_2,post_skills_3,post_skills_avg,post_attention1,post_attention2,post_attention_avg,post_relevance1,post_relevance2,post_relevance_avg,post_confidence1,post_confidence2,post_confidence_avg,post_satisfaction1,post_satisfaction2,post_satisfaction_avg,post_metacognition1,post_metacognition2,post_metacognition_avg,post_difficulty1,post_difficulty2,post_difficulty_avg,points,duration
0.800,1,0,1,0.667,1,1,1,1,1,1,1,1.000,1,1,0,0.667,0,1,1,0.667,0.800,1,0,1,0.667,1,1,0,1,1,0.833,1,1,0,0.667,1,1,1,1.000,5,4,4.5,4,4,4,3,2,2.5,4,1,2.5,4,4,4,3,4,3.5,6,01:13:03
0.533,1,0,0,0.333,0,0,1,1,0,1,1,0.500,1,1,1,1.000,0,0,1,0.333,0.600,1,0,1,0.667,0,1,1,1,0,0.667,0,1,0,0.333,0,1,1,0.667,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,1.5,20,01:07:04
0.800,1,1,0,0.667,1,0,1,1,1,1,1,0.833,1,1,0,0.667,1,1,1,1.000,0.867,1,1,1,1.000,1,1,0,1,1,0.833,1,1,0,0.667,1,1,1,1.000,5,5,5,5,5,5,3,3,3,5,4,4.5,5,5,5,3,2,2.5,21,01:35:33
0.800,1,1,0,0.667,1,1,1,1,0,1,1,0.833,1,1,0,0.667,1,1,1,1.000,0.933,1,1,1,1.000,1,1,1,1,1,1.000,1,1,0,0.667,1,1,1,1.000,5,5,5,3,4,3.5,4,4,4,4,4,4,4,4,4,3,2,2.5,15,01:12:03
0.333,1,0,0,0.333,0,0,0,0,0,1,1,0.167,1,0,0,0.333,1,1,0,0.667,0.667,1,0,1,0.667,0,1,1,1,0,0.667,0,1,0,0.333,1,1,1,1.000,5,2,3.5,5,5,5,5,4,4.5,4,2,3,3,3,3,2,2,2,17,01:08:08
0.533,1,1,0,0.667,0,0,1,0,0,1,1,0.333,1,1,0,0.667,1,0,1,0.667,0.800,1,1,1,1.000,0,1,1,1,0,0.667,1,0,1,0.667,1,1,1,1.000,5,4,4.5,4,4,4,4,4,4,4,3,3.5,4,4,4,3,3,3,19,01:25:22
0.600,1,1,0,0.667,1,1,1,0,0,1,1,0.667,0,0,0,0.000,1,1,1,1.000,0.867,1,1,0,0.667,1,1,1,1,1,1.000,1,1,0,0.667,1,1,1,1.000,5,5,5,3,3,3,4,5,4.5,4,3,3.5,4,4,4,3,3,3,8,01:11:27
0.200,0,0,1,0.333,0,0,0,0,0,0,0,0.000,0,0,1,0.333,0,0,1,0.333,0.267,0,0,1,0.333,0,0,1,0,0,0.167,0,1,1,0.667,0,0,0,0.000,,,,,,,,,,,,,,,,,,,13,01:27:58
0.800,1,0,1,0.667,1,1,1,1,1,1,1,1.000,1,1,0,0.667,0,1,1,0.667,0.867,1,0,1,0.667,1,1,1,1,1,1.000,1,1,0,0.667,1,1,1,1.000,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,1,1,1,19,00:45:42
0.933,1,1,1,1.000,1,1,1,1,1,1,1,1.000,1,1,0,0.667,1,1,1,1.000,1.000,1,1,1,1.000,1,1,1,1,1,1.000,1,1,1,1.000,1,1,1,1.000,4,4,4,4,4,4,4,5,4.5,3,3,3,4,4,4,2,2,2,13,00:55:20
